iter	Passed	Remaining
291	1157	2806
292	1162	2805
293	1166	2800
294	1169	2794
295	1173	2790
296	1176	2785
297	1179	2779
298	1183	2773
299	1186	2768
300	1190	2764
301	1194	2760
302	1197	2754
303	1200	2748
304	1204	2744
305	1208	2741
306	1212	2736
307	1215	2731
308	1219	2726
309	1225	2727
310	1229	2724
311	1232	2718
312	1236	2713
313	1240	2709
314	1243	2704
315	1247	2700
316	1250	2694
317	1255	2691
318	1258	2687
319	1262	2682
320	1266	2678
321	1269	2672
322	1273	2668
323	1276	2663
324	1279	2658
325	1283	2652
326	1287	2650
327	1291	2646
328	1295	2641
329	1298	2637
330	1302	2633
331	1306	2627
332	1309	2623
333	1312	2617
334	1316	2612
335	1320	2609
336	1324	2605
337	1327	2599
338	1331	2595
339	1334	2590
340	1338	2586
341	1341	2581
342	1345	2576
343	1348	2571
344	1353	2568
345	1357	2565
346	1360	2560
347	1364	2556
348	1370	2557
349	1374	2552
350	1377	2547
351	1381	2543
352	1386	2541
353	1389	2536
354	1393	2531
355	1396	2526
356	1400	2522
357	1404	2519
358	1408	2514
359	1411	2509
360	1415	2505
361	1419	2502
362	1423	2497
363	1426	2491
364	1429	2487
365	1434	2484
366	1437	2479
367	1441	2474
368	1444	2469
369	1448	2466
370	1452	2462
371	1455	2457
372	1459	2453
373	1462	2448
374	1467	2445
375	1471	2441
376	1474	2436
377	1479	2434
378	1484	2431
379	1488	2428
380	1491	2422
381	1496	2420
382	1499	2416
383	1503	2411
384	1506	2405
385	1509	2401
386	1515	2399
387	1519	2396
388	1522	2391
389	1526	2387
390	1531	2384
391	1534	2380
392	1538	2375
393	1541	2370
394	1546	2367
395	1550	2365
396	1554	2360
397	1557	2356
398	1561	2351
399	1565	2348
400	1568	2343
401	1571	2337
402	1575	2333
403	1579	2330
404	1583	2325
405	1586	2320
406	1589	2316
407	1592	2311
408	1597	2307
409	1600	2303
410	1603	2298
411	1607	2294
412	1611	2290
413	1615	2286
414	1618	2281
415	1621	2276
416	1625	2272
417	1628	2267
418	1632	2263
419	1635	2258
420	1638	2253
421	1642	2249
422	1646	2245
423	1649	2240
424	1652	2235
425	1655	2230
426	1659	2226
427	1663	2223
428	1667	2219
429	1670	2214
430	1674	2210
431	1678	2206
432	1681	2202
433	1685	2197
434	1688	2193
435	1693	2190
436	1696	2185
437	1699	2180
438	1703	2176
439	1706	2172
440	1711	2169
441	1714	2164
442	1717	2160
443	1721	2155
444	1726	2152
445	1729	2148
446	1733	2144
447	1736	2139
448	1741	2137
449	1746	2134
450	1749	2129
451	1752	2124
452	1757	2122
453	1761	2118
454	1764	2113
455	1768	2109
456	1772	2105
457	1776	2102
458	1779	2097
459	1782	2092
460	1786	2088
461	1790	2084
462	1793	2079
463	1796	2074
464	1799	2070
465	1802	2065
466	1807	2062
467	1811	2059
468	1814	2054
469	1818	2050
470	1821	2045
471	1825	2042
472	1828	2036
473	1831	2032
474	1834	2027
475	1839	2025
476	1842	2020
477	1846	2016
478	1850	2013
479	1854	2009
480	1857	2004
481	1861	2000
482	1864	1995
483	1867	1991
484	1872	1988
485	1875	1983
486	1878	1978
487	1881	1974
488	1885	1969
489	1888	1965
490	1891	1961
491	1895	1956
492	1898	1952
493	1902	1948
494	1906	1945
495	1909	1940
496	1912	1935
497	1916	1932
498	1920	1928
499	1923	1923
500	1927	1919
501	1930	1914
502	1933	1910
503	1937	1906
504	1940	1902
505	1943	1897
506	1947	1893
507	1953	1891
508	1956	1886
509	1959	1882
510	1962	1877
511	1969	1876
512	1973	1873
513	1978	1870
514	1982	1866
515	1985	1862
516	1988	1858
517	1991	1853
518	1995	1849
519	2002	1848
520	2006	1844
521	2009	1840
522	2013	1836
523	2017	1832
524	2020	1828
525	2023	1823
526	2027	1819
527	2032	1817
528	2036	1813
529	2039	1808
530	2042	1804
531	2048	1801
532	2052	1798
533	2055	1793
534	2058	1789
535	2065	1787
536	2068	1783
537	2072	1779
538	2076	1775
539	2081	1773
540	2085	1769
541	2088	1765
542	2092	1760
543	2095	1756
544	2099	1752
545	2102	1748
546	2106	1744
547	2109	1739
548	2113	1736
549	2116	1731
550	2119	1727
551	2122	1722
552	2125	1718
553	2128	1713
554	2132	1709
555	2135	1705
556	2138	1700
557	2141	1696
558	2145	1692
559	2149	1689
560	2153	1685
561	2156	1681
562	2160	1677
563	2164	1673
564	2168	1669
565	2171	1665
566	2174	1660
567	2178	1656
568	2181	1652
569	2184	1648
570	2187	1643
571	2191	1639
572	2194	1635
573	2198	1631
574	2201	1627
575	2204	1622
576	2207	1618
577	2210	1614
578	2214	1609
579	2217	1605
580	2220	1601
581	2223	1597
582	2227	1593
583	2230	1588
584	2233	1584
585	2236	1580
586	2240	1576
587	2243	1572
588	2247	1568
589	2250	1563
590	2253	1559
591	2257	1555
592	2261	1552
593	2265	1548
594	2268	1544
595	2271	1539
596	2275	1535
597	2278	1531
598	2281	1527
599	2285	1523
600	2288	1519
601	2292	1515
602	2295	1511
603	2298	1507
604	2301	1502
605	2305	1498
606	2308	1494
607	2312	1491
608	2315	1486
609	2318	1482
610	2322	1478
611	2327	1475
612	2330	1471
613	2333	1467
614	2337	1463
615	2340	1459
616	2343	1454
617	2346	1450
618	2350	1446
619	2353	1442
620	2357	1438
621	2360	1434
622	2363	1430
623	2366	1426
624	2370	1422
625	2374	1418
626	2379	1415
627	2383	1411
628	2387	1408
629	2392	1405
630	2395	1401
631	2399	1396
632	2404	1393
633	2407	1389
634	2410	1385
635	2413	1381
636	2417	1377
637	2422	1374
638	2427	1371
639	2430	1367
640	2433	1363
641	2438	1359
642	2443	1356
643	2446	1352
644	2450	1348
645	2454	1345
646	2458	1341
647	2461	1337
648	2466	1334
649	2471	1330
650	2475	1326
651	2478	1322
652	2482	1319
653	2487	1315
654	2490	1311
655	2493	1307
656	2497	1303
657	2501	1300
658	2506	1296
659	2509	1292
660	2513	1289
661	2517	1285
662	2521	1281
663	2524	1277
664	2527	1273
665	2531	1269
666	2535	1266
667	2539	1261
668	2542	1257
669	2545	1253
670	2550	1250
671	2554	1246
672	2558	1243
673	2571	1243
674	2575	1239
675	2578	1236
676	2586	1234
677	2590	1230
678	2593	1226
679	2598	1222
680	2602	1219
681	2605	1215
682	2609	1211
683	2614	1207
684	2618	1204
685	2621	1199
686	2625	1196
687	2630	1192
688	2633	1188
689	2636	1184
690	2639	1180
691	2643	1176
692	2649	1173
693	2652	1169
694	2656	1165
695	2662	1162
696	2670	1161
697	2674	1157
698	2679	1153
699	2684	1150
700	2687	1146
701	2691	1142
702	2696	1139
703	2699	1135
704	2703	1131
705	2706	1126
706	2712	1124
707	2715	1120
708	2720	1116
709	2723	1112
710	2727	1108
711	2731	1105
712	2735	1100
713	2738	1096
714	2742	1092
715	2746	1089
716	2750	1085
717	2753	1081
718	2757	1077
719	2762	1074
720	2766	1070
721	2769	1066
722	2772	1062
723	2777	1058
724	2781	1054
725	2785	1051
726	2795	1049
727	2807	1048
728	2813	1045
729	2816	1041
730	2820	1037
731	2825	1034
732	2829	1030
733	2832	1026
734	2835	1022
735	2840	1018
736	2844	1015
737	2847	1011
738	2852	1007
739	2856	1003
740	2860	999
741	2863	995
742	2867	991
743	2871	988
744	2875	984
745	2879	980
746	2882	976
747	2887	972
748	2891	969
749	2894	964
750	2897	960
751	2900	956
752	2903	952
753	2907	948
754	2910	944
755	2913	940
756	2917	936
757	2921	932
758	2924	928
759	2927	924
760	2930	920
761	2933	916
762	2937	912
763	2942	908
764	2946	904
765	2950	901
766	2955	897
767	2959	894
768	2964	890
769	2971	887
770	2975	883
771	2979	879
772	2983	876
773	2987	872
774	2990	868
775	2993	864
776	2998	860
777	3003	856
778	3006	852
779	3009	848
780	3014	845
781	3019	841
782	3023	837
783	3026	833
784	3031	830
785	3035	826
786	3038	822
787	3041	818
788	3047	814
789	3051	811
790	3055	807
791	3058	803
792	3061	799
793	3065	795
794	3070	791
795	3073	787
796	3078	783
797	3082	780
798	3085	776
799	3088	772
800	3091	768
801	3094	764
802	3098	760
803	3101	756
804	3105	752
805	3108	748
806	3112	744
807	3116	740
808	3119	736
809	3124	732
810	3129	729
811	3133	725
812	3137	721
813	3142	718
814	3147	714
815	3150	710
816	3154	706
817	3159	702
818	3163	699
819	3166	695
820	3170	691
821	3175	687
822	3179	683
823	3183	679
824	3187	676
825	3191	672
826	3195	668
827	3199	664
828	3204	661
829	3209	657
830	3212	653
831	3219	650
832	3223	646
833	3226	642
834	3230	638
835	3233	634
836	3237	630
837	3242	626
838	3246	623
839	3250	619
840	3254	615
841	3257	611
842	3261	607
843	3265	603
844	3269	599
845	3273	595
846	3277	591
847	3280	588
848	3284	584
849	3288	580
850	3291	576
851	3294	572
852	3298	568
853	3301	564
854	3305	560
855	3308	556
856	3311	552
857	3315	548
858	3319	544
859	3322	540
860	3325	536
861	3328	532
862	3334	529
863	3337	525
864	3341	521
865	3344	517
866	3348	513
867	3352	509
868	3354	505
869	3358	501
870	3362	497
871	3365	494
872	3368	490
873	3371	486
874	3374	482
875	3377	478
876	3382	474
877	3385	470
878	3389	466
879	3392	462
880	3396	458
881	3402	455
882	3407	451
883	3410	447
884	3414	443
885	3418	439
886	3421	435
887	3429	432
888	3433	428
889	3436	424
890	3439	420
891	3443	416
892	3447	413
893	3450	409
894	3454	405
895	3457	401
896	3461	397
897	3465	393
898	3469	389
899	3472	385
900	3476	381
901	3480	378
902	3483	374
903	3486	370
904	3490	366
905	3494	362
906	3497	358
907	3500	354
908	3503	350
909	3507	346
910	3511	343
911	3514	339
912	3518	335
913	3522	331
914	3525	327
915	3529	323
916	3533	319
917	3536	315
918	3540	312
919	3544	308
920	3547	304
921	3550	300
922	3555	296
923	3558	292
924	3562	288
925	3565	284
926	3568	280
927	3572	277
928	3575	273
929	3578	269
930	3581	265
931	3584	261
932	3588	257
933	3592	253
934	3595	249
935	3599	246
936	3603	242
937	3607	238
938	3613	234
939	3617	230
940	3620	227
941	3624	223
942	3627	219
943	3631	215
944	3635	211
945	3639	207
946	3643	203
947	3646	200
948	3650	196
949	3655	192
950	3659	188
951	3662	184
952	3666	180
953	3670	176
954	3673	173
955	3676	169
956	3680	165
957	3683	161
958	3687	157
959	3690	153
960	3693	149
961	3696	146
962	3700	142
963	3703	138
964	3706	134
965	3709	130
966	3712	126
967	3716	122
968	3720	119
969	3723	115
970	3727	111
971	3731	107
972	3735	103
973	3738	99
974	3742	95
975	3748	92
976	3751	88
977	3755	84
978	3758	80
979	3761	76
980	3765	72
981	3768	69
982	3772	65
983	3775	61
984	3778	57
985	3782	53
986	3785	49
987	3788	46
988	3791	42
989	3795	38
990	3798	34
991	3802	30
992	3805	26
993	3809	22
994	3813	19
995	3816	15
996	3819	11
997	3823	7
998	3826	3
999	3830	0
