iter	MultiClass
122	0.7151467052
123	0.7134867325
124	0.7117694481
125	0.710565186
126	0.7094214274
127	0.70786224
128	0.70618348
129	0.7052235706
130	0.7033550321
131	0.7024148897
132	0.7008612696
133	0.6986302327
134	0.6967131493
135	0.6953514075
136	0.6928838601
137	0.6907481188
138	0.6887815071
139	0.6862630632
140	0.6850986397
141	0.682184166
142	0.6802066077
143	0.6785546318
144	0.6773703677
145	0.6760520744
146	0.6742644608
147	0.6715242588
148	0.6703217467
149	0.669228722
150	0.6682968998
151	0.6658946168
152	0.6642523912
153	0.6620592817
154	0.6598227936
155	0.6585854959
156	0.6569609924
157	0.6555140115
158	0.6536843937
159	0.6519281161
160	0.6502861363
161	0.6482216353
162	0.6470765555
163	0.6459580762
164	0.6442333492
165	0.6435509879
166	0.6419208807
167	0.6408664325
168	0.6394713129
169	0.6373560509
170	0.6363727091
171	0.635230154
172	0.6343206303
173	0.6332407912
174	0.6317472389
175	0.6299286612
176	0.6279973328
177	0.6258323627
178	0.6250478242
179	0.6239971675
180	0.6224929384
181	0.6215634511
182	0.6199997725
183	0.6189100423
184	0.6173814754
185	0.6143418698
186	0.6131520189
187	0.6121075475
188	0.6104699934
189	0.6088972151
190	0.6078947722
191	0.6059148196
192	0.6039530804
193	0.6023933094
194	0.601527888
195	0.6005908078
196	0.5992827786
197	0.5973752373
198	0.5955060856
199	0.5938007778
200	0.5922998417
201	0.5912810012
202	0.590308231
203	0.5887534754
204	0.5873249544
205	0.5862559336
206	0.5851745436
207	0.5843166166
208	0.5832137258
209	0.5814792057
210	0.5803881244
211	0.5792373672
212	0.5783382108
213	0.5769899789
214	0.5757367429
215	0.5739964154
216	0.5720847407
217	0.5711985785
218	0.569981583
219	0.5691391357
220	0.5684492148
221	0.5669685114
222	0.565389619
223	0.5639616058
224	0.5628411313
225	0.5615897526
226	0.5604676132
227	0.5590746367
228	0.5579220431
229	0.5567520312
230	0.5551619279
231	0.5545790978
232	0.5535403372
233	0.5522515173
234	0.5513880134
235	0.5505208268
236	0.5486341051
237	0.5473245978
238	0.5463364736
239	0.5448208419
240	0.5439201989
241	0.5428973593
242	0.5421331402
243	0.5403291004
244	0.5384691819
245	0.5376115004
246	0.5360636763
247	0.5351001265
248	0.5336985736
249	0.531891449
250	0.5298740518
251	0.5282332899
252	0.5273616736
253	0.5262767877
254	0.5248400017
255	0.52396105
256	0.5228618287
257	0.5212931676
258	0.5198324241
259	0.5184981186
260	0.5168261615
261	0.5153022669
262	0.5140117993
263	0.5131879285
264	0.5121952212
265	0.511025251
266	0.5097239521
267	0.5088983361
268	0.5073316779
269	0.5063922559
270	0.5046269699
271	0.5029568572
272	0.5010344759
273	0.5004063586
274	0.4991947119
275	0.4984251341
276	0.4972517959
277	0.4963819135
278	0.4955646034
279	0.4945917837
280	0.4935628264
281	0.4926203313
282	0.4915177762
283	0.4906973572
284	0.4891179503
285	0.4884497372
286	0.4872499526
287	0.4859309803
288	0.4847852413
289	0.4838012228
290	0.4827067391
291	0.4813689737
292	0.4807629288
293	0.4792430011
294	0.477564816
295	0.4758971375
296	0.4752205835
297	0.4742607932
298	0.4730664241
299	0.4724723661
300	0.4716778402
301	0.4712137157
302	0.4706544115
303	0.4698783366
304	0.468702262
305	0.4673481159
306	0.4666103951
307	0.4652597806
308	0.4643983125
309	0.4625996558
310	0.4615666586
311	0.4599580498
312	0.4587823417
313	0.4580587231
314	0.4572757127
315	0.4568127307
316	0.45593016
317	0.4552635639
318	0.454041592
319	0.4535053674
320	0.4525497445
321	0.4517265332
322	0.45111007
323	0.4503440393
324	0.4496463681
325	0.4483238085
326	0.4470549671
327	0.4462184806
328	0.4457345328
329	0.444965703
330	0.4439797325
331	0.4434594029
332	0.4423540312
333	0.4411799584
334	0.4401468307
335	0.4385926218
336	0.4379744371
337	0.4363660196
338	0.4356953704
339	0.4345663593
340	0.4333477671
341	0.4325386902
342	0.4320346143
343	0.431284703
344	0.4305052989
345	0.4300499117
346	0.4293771919
347	0.4287123255
348	0.4279445443
349	0.4270129266
350	0.4264389762
351	0.4259582397
352	0.4247343731
353	0.42427486
354	0.4237962176
355	0.4229494729
356	0.4218426647
357	0.4204786382
358	0.4196859649
359	0.4191136572
360	0.4185618721
361	0.4178087518
362	0.4169048716
363	0.4161598378
364	0.415737585
365	0.4146043121
366	0.4134412234
367	0.4128344222
368	0.4118892496
369	0.411249522
370	0.4099943745
371	0.4090296169
372	0.4080735548
373	0.4075698527
374	0.4068356463
375	0.4053305421
376	0.404569297
377	0.4040078532
378	0.4025245764
379	0.4020124792
380	0.4017016984
381	0.4006064317
382	0.4001142771
383	0.3993625323
384	0.3985914995
385	0.3976996693
386	0.396984847
387	0.3959219422
388	0.3954622176
389	0.3944844416
390	0.3936402873
391	0.3928035376
392	0.39206654
393	0.3914394941
394	0.3905962689
395	0.3895546494
396	0.3888841428
397	0.3880575428
398	0.3876782437
399	0.3867747793
400	0.3860301562
401	0.3853431085
402	0.3844113792
403	0.3835237253
404	0.382851818
405	0.3824003992
406	0.3814598516
407	0.3808428681
408	0.3799775935
409	0.3794687249
410	0.3790875292
411	0.3784366786
412	0.3775533605
413	0.3769746772
414	0.3762671817
415	0.3755599283
416	0.3749487293
417	0.3745716265
418	0.3740719653
419	0.3730412816
420	0.3720185171
421	0.3708764425
422	0.3702497119
423	0.3696123929
424	0.3688371376
425	0.368285276
426	0.367886192
427	0.3671362447
428	0.3666031292
429	0.365633645
430	0.3646594556
431	0.3641886446
432	0.3631759296
433	0.3622879377
434	0.3617385756
435	0.3612024224
436	0.3607991926
437	0.359947035
438	0.3590770638
439	0.3585272705
440	0.3576373764
441	0.3568068449
442	0.3563852716
443	0.3558765647
444	0.3554342902
445	0.3545490604
446	0.3540413137
447	0.3537640869
448	0.3531948455
449	0.3522109262
450	0.3515718437
451	0.3505987009
452	0.3501655838
453	0.3496247299
454	0.3492433714
455	0.3482851839
456	0.3477294749
457	0.3471502043
458	0.3461996462
459	0.3456452902
460	0.3449550949
461	0.3442783101
462	0.3433556157
463	0.3428385854
464	0.3425221463
465	0.3417628669
466	0.3411647596
467	0.3406525451
468	0.3400846437
469	0.3393804463
470	0.3387121794
471	0.3384429777
472	0.3376074666
473	0.336583862
474	0.3360149857
475	0.3356040792
476	0.3346588357
477	0.3341447237
478	0.3336944192
479	0.3329891538
480	0.3327579523
481	0.3322456988
482	0.3315053375
483	0.3306695036
484	0.3301567552
485	0.3293318421
486	0.3287994835
487	0.3281944079
488	0.3274237717
489	0.3261825535
490	0.3254891112
491	0.3250161114
492	0.3246185292
493	0.3238636729
494	0.323231744
495	0.3228765335
496	0.3224427347
497	0.321461698
498	0.3206601402
499	0.3203586579
500	0.3194962567
501	0.319128405
502	0.3183815247
503	0.3176674015
504	0.317285534
505	0.3165440372
506	0.3162209947
507	0.3157874063
508	0.3151716347
509	0.3148116218
510	0.3142470243
511	0.3135594745
512	0.3131396754
513	0.3122677219
514	0.3114193487
515	0.3105891349
516	0.3098860987
517	0.3094080914
518	0.3089702106
519	0.30860434
520	0.3081943636
521	0.3077169108
522	0.307089131
523	0.3066162767
524	0.3061951863
525	0.3057240761
526	0.3052427077
527	0.3047808087
528	0.3041440761
529	0.303675442
530	0.3033418326
531	0.3029270547
532	0.3020033486
533	0.3010467683
534	0.3005704033
535	0.2996595994
536	0.2990134045
537	0.2988191602
538	0.2985769842
539	0.298203789
540	0.2978027543
541	0.2969882939
542	0.2962705561
543	0.2958129857
544	0.2953053233
545	0.294562199
546	0.2941491014
547	0.2938435706
548	0.2934075862
549	0.2928914402
550	0.2925039834
551	0.2922550314
552	0.2918186732
553	0.2909502115
554	0.2903882593
555	0.2898504
556	0.2896089703
557	0.289242103
558	0.2885602926
559	0.2881150642
560	0.2878238626
561	0.2873527216
562	0.2868034141
563	0.2863863336
564	0.2859412525
565	0.2852231285
566	0.2845793353
567	0.2839479756
568	0.2836285157
569	0.2829754347
570	0.2827077706
571	0.2822091507
572	0.2815532179
573	0.2811034032
574	0.2803588176
575	0.2799347242
576	0.27952138
577	0.2793257127
578	0.2789970645
579	0.2783101
580	0.277828465
581	0.2774576056
582	0.2772273923
583	0.2768624967
584	0.2763346329
585	0.2759840774
586	0.2751822265
587	0.2746430512
588	0.2742064089
589	0.2738944565
590	0.2736207679
591	0.2735501575
592	0.2732886481
593	0.2728212312
594	0.2724611356
595	0.2717858643
596	0.271366746
597	0.2710267974
598	0.2705997207
599	0.2701555938
600	0.2697024944
601	0.2694477199
602	0.2692098334
603	0.2687719676
604	0.2682154728
605	0.2678002502
606	0.2673231993
607	0.266926472
608	0.2666662364
609	0.2661331275
610	0.2658684565
611	0.2652531024
612	0.264814156
613	0.2644539427
614	0.2638975345
615	0.2633159876
616	0.2629939735
617	0.2622829373
618	0.2620581991
619	0.2616217131
620	0.2610783657
621	0.2606949624
622	0.2601490156
623	0.2598999208
624	0.2596684683
625	0.2594651767
626	0.2591583562
627	0.2589471207
628	0.2585077169
629	0.2582673542
630	0.2577015442
631	0.2572407553
632	0.2568311555
633	0.2564680639
634	0.2561382254
635	0.2557514435
636	0.2553828182
637	0.2548571508
638	0.2544188699
639	0.2540330485
640	0.2537341703
641	0.2534481294
642	0.2531832918
643	0.2528085012
644	0.252035505
645	0.2514963023
646	0.2512516506
647	0.251007262
648	0.2505462178
649	0.2501801102
650	0.2497676156
651	0.2494069802
652	0.2488097823
653	0.2481594106
654	0.2479027556
655	0.2476344009
656	0.2472391721
657	0.2468673634
658	0.2462483571
659	0.2456679511
660	0.2455030616
661	0.2448727487
662	0.2446042172
663	0.2440940596
664	0.2436145273
665	0.2432822723
666	0.2427648876
667	0.2422269584
668	0.2417959149
669	0.2413059012
670	0.2408868535
671	0.2407528483
672	0.2404271545
673	0.2401019329
674	0.239674169
675	0.2391508495
676	0.238884692
677	0.2385137274
678	0.2382249735
679	0.2376856802
680	0.237054124
681	0.2363477267
682	0.2358416395
683	0.2353050085
684	0.2348910313
685	0.2345832983
686	0.2340308065
687	0.2336537381
688	0.2330882411
689	0.2327204854
690	0.2324936133
691	0.2320005721
692	0.2316569648
693	0.231070469
694	0.2308302031
695	0.2305618925
696	0.2299065418
697	0.2296802509
698	0.2293629386
699	0.2290071807
700	0.2287985442
701	0.2284828526
702	0.2282899509
703	0.2278170876
704	0.227574084
705	0.2270623382
706	0.2267543194
707	0.2261814584
708	0.225779877
709	0.2255181265
710	0.2253086865
711	0.2248400763
712	0.2243896444
713	0.2239425424
714	0.2236696336
715	0.2232620262
716	0.2229502875
717	0.222522495
718	0.2218971188
719	0.2216507103
720	0.2212399269
721	0.2208835925
722	0.2205304256
723	0.2204220017
724	0.2201073939
725	0.2198337223
726	0.2196381794
727	0.219147886
728	0.2188314233
729	0.2183542756
730	0.2181264145
731	0.2178340815
732	0.2174336899
733	0.2169324198
734	0.2167801799
735	0.2165005266
736	0.2161726958
737	0.2160464955
738	0.2155389536
739	0.2150614443
740	0.2146728577
741	0.2143286606
742	0.2139498486
743	0.2136476888
744	0.2132836786
745	0.2128906214
746	0.2125840143
747	0.2122635344
748	0.2118753895
749	0.2115588554
750	0.2112186777
751	0.2106986765
752	0.2104507535
753	0.2101302034
754	0.2099942186
755	0.2097488973
756	0.2094171883
757	0.2091341604
758	0.2088883682
759	0.2086865606
760	0.2084710625
761	0.2079620428
762	0.20781569
763	0.2073927555
764	0.2071469673
765	0.2068699073
766	0.2066541315
767	0.2062495155
768	0.2060965089
769	0.2055986447
770	0.2052666792
771	0.2048860777
772	0.2044484007
773	0.204169155
774	0.2039061572
775	0.203564769
776	0.2030906697
777	0.2027087639
778	0.2023394409
779	0.2020020511
780	0.2018255556
781	0.2014970381
782	0.2012003868
783	0.2008455672
784	0.2003790283
785	0.2001955166
786	0.1999960585
787	0.1996758495
788	0.1993875649
789	0.198978173
790	0.1986116959
791	0.1982175697
792	0.1979268178
793	0.1976029462
794	0.197377296
795	0.1969381366
796	0.1966837848
797	0.1964658217
798	0.1963212005
799	0.1961709842
800	0.1959608894
801	0.195722754
802	0.1956104088
803	0.1953497919
804	0.1951287262
805	0.1949471453
806	0.1945057346
807	0.1943181528
808	0.1938999864
809	0.1936234543
810	0.1932871926
811	0.1930553344
812	0.1927913636
813	0.1924575167
814	0.1922330431
815	0.1919081244
816	0.1914689093
817	0.1909933805
818	0.1907960658
819	0.1905450655
820	0.1902231163
821	0.1900329889
822	0.1897665072
823	0.1894990982
824	0.1890591477
825	0.1888393249
826	0.1885867993
827	0.1883119778
828	0.1880844844
829	0.1878172845
830	0.1874549419
831	0.1871136335
832	0.1869289925
833	0.1865954707
834	0.1864007645
835	0.1860974481
836	0.1858293848
837	0.1855432901
838	0.1852737217
839	0.1851023473
840	0.184830188
841	0.1846285222
842	0.1840338483
843	0.1836780814
844	0.1835389497
845	0.1833224608
846	0.1829303209
847	0.1826069983
848	0.1821315516
849	0.1819364751
850	0.1815205525
851	0.1812606523
852	0.181079779
853	0.1807929272
854	0.1805125453
855	0.1800724538
856	0.1798134924
857	0.1796704399
858	0.1795589761
859	0.1792537724
860	0.1791279142
861	0.1788467789
862	0.1784407417
863	0.1783011737
864	0.1781842277
865	0.1779795528
866	0.1776752903
867	0.1774999355
868	0.1772410333
869	0.1767882541
870	0.176431033
871	0.1762396815
872	0.1761133129
873	0.1758058797
874	0.1755903306
875	0.175240864
876	0.1749571268
877	0.1745713143
878	0.1743702495
879	0.1740607059
880	0.1737153716
881	0.1735444137
882	0.1733521954
883	0.1732280988
884	0.1729195361
885	0.1726893274
886	0.1724926725
887	0.1721373299
888	0.1719645395
889	0.1717529033
890	0.171595903
891	0.1713217668
892	0.1710885981
893	0.1708464844
894	0.1705793295
895	0.1702732516
896	0.170020661
897	0.1698032173
898	0.1695681381
899	0.1693369112
900	0.1691548379
901	0.1688607478
902	0.1686958399
903	0.1685128338
904	0.1682345116
905	0.1680472022
906	0.1678808481
907	0.1675604217
908	0.1673111918
909	0.1671418654
910	0.1670033373
911	0.1668252315
912	0.1665182804
913	0.1662637608
914	0.1660771725
915	0.1658525782
916	0.1656058833
917	0.1652997891
918	0.1649887841
919	0.1647212932
920	0.1643162721
921	0.1641504769
922	0.1640298157
923	0.1638442142
924	0.1636688887
925	0.1633335959
926	0.1631510342
927	0.1629235573
928	0.1625096665
929	0.1623183615
930	0.162047708
931	0.1618362574
932	0.161472441
933	0.1610565343
934	0.1608250244
935	0.1606713522
936	0.1604243605
937	0.1602508581
938	0.1598990621
939	0.1596836473
940	0.1594553966
941	0.1591776923
942	0.1589752598
943	0.1587190632
944	0.1584843874
945	0.1581652482
946	0.1578196853
947	0.1576883056
948	0.1574828829
949	0.1572972407
950	0.1571253693
951	0.1569250436
952	0.1567153877
953	0.1565726473
954	0.1563248674
955	0.1561872965
956	0.1559644865
957	0.1556528267
958	0.1554373467
959	0.1551351451
960	0.1550259484
961	0.1548350769
962	0.1547611363
963	0.1544883124
964	0.1544090368
965	0.1542695345
966	0.1540162523
967	0.153865421
968	0.1536637144
969	0.1534852545
970	0.1531387461
971	0.1528999871
972	0.1526637547
973	0.1523327969
974	0.1521350709
975	0.1520160437
976	0.1516819869
977	0.1515806016
978	0.15138599
979	0.1510968037
980	0.1509992102
981	0.1508849218
982	0.1506271091
983	0.1503970573
984	0.1502155161
985	0.150055
986	0.149904741
987	0.1497213597
988	0.1494833817
989	0.1492152958
990	0.1490698208
991	0.1488697935
992	0.1486773767
993	0.1485668493
994	0.1482945647
995	0.1478558164
996	0.1476709096
997	0.1474524261
998	0.1472574445
999	0.1470396543
