Div,Season,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,AvgH,AvgD,AvgA
ARG,1213,09/09/2012,22:15,Independiente,Quilmes,1.0,1.0,D,2.45,2.96,2.96
ARG,1213,10/09/2012,00:15,River Plate,Newells Old Boys,3.0,3.0,D,2.18,3.06,3.4
ARG,1213,10/09/2012,21:10,Union de Santa Fe,Tigre,1.0,1.0,D,2.75,3.02,2.58
ARG,1213,10/09/2012,23:15,Lanus,Godoy Cruz,2.0,0.0,H,2.06,3.15,3.63
ARG,1213,15/09/2012,18:10,Tigre,Colon Santa FE,2.0,2.0,D,2.42,3.04,2.93
ARG,1213,15/09/2012,20:10,All Boys,Argentinos Jrs,0.0,1.0,A,2.28,3.03,3.21
ARG,1213,15/09/2012,22:10,Godoy Cruz,San Martin S.J.,1.0,0.0,H,1.84,3.29,4.32
ARG,1213,16/09/2012,00:20,Racing Club,Estudiantes L.P.,0.0,1.0,A,2.31,3.02,3.19
ARG,1213,16/09/2012,20:20,Boca Juniors,Independiente,2.0,1.0,H,1.68,3.44,5.19
ARG,1213,16/09/2012,22:15,Newells Old Boys,San Lorenzo,1.0,0.0,H,1.99,3.11,3.9
ARG,1213,16/09/2012,22:20,Arsenal Sarandi,Belgrano,0.0,2.0,A,2.23,2.99,3.35
ARG,1213,17/09/2012,00:30,Velez Sarsfield,River Plate,2.0,0.0,H,2.09,3.14,3.5
ARG,1213,17/09/2012,22:05,Union de Santa Fe,Atl. Rafaela,0.0,0.0,D,2.5,2.98,2.88
ARG,1213,18/09/2012,00:10,Quilmes,Lanus,0.0,0.0,D,2.83,2.96,2.57
ARG,1213,21/09/2012,23:10,Belgrano,Godoy Cruz,1.0,0.0,H,2.32,2.94,3.22
ARG,1213,22/09/2012,01:15,Atl. Rafaela,Tigre,3.0,0.0,H,2.52,2.99,2.86
ARG,1213,22/09/2012,18:00,Argentinos Jrs,Union de Santa Fe,3.0,3.0,D,1.85,3.24,4.28
ARG,1213,22/09/2012,20:10,San Lorenzo,Velez Sarsfield,1.0,2.0,A,3.0,3.0,2.41
ARG,1213,23/09/2012,00:20,Independiente,All Boys,1.0,1.0,D,2.39,3.01,3.03
ARG,1213,23/09/2012,19:10,River Plate,Racing Club,0.0,1.0,A,2.18,3.06,3.4
ARG,1213,23/09/2012,21:10,Colon Santa FE,Newells Old Boys,1.0,2.0,A,2.44,3.0,2.95
ARG,1213,23/09/2012,21:10,San Martin S.J.,Quilmes,4.0,0.0,H,2.58,2.96,2.82
ARG,1213,23/09/2012,23:15,Lanus,Boca Juniors,2.0,0.0,H,2.69,3.01,2.67
ARG,1213,24/09/2012,21:10,Estudiantes L.P.,Arsenal Sarandi,2.0,1.0,H,2.15,3.04,3.48
ARG,1213,28/09/2012,23:20,Quilmes,Belgrano,1.0,1.0,D,2.43,3.0,2.97
ARG,1213,29/09/2012,18:00,All Boys,Lanus,2.0,1.0,H,2.93,2.99,2.46
ARG,1213,29/09/2012,20:10,Godoy Cruz,Estudiantes L.P.,1.0,0.0,H,2.34,3.01,3.09
ARG,1213,29/09/2012,21:50,Atl. Rafaela,Argentinos Jrs,5.0,3.0,H,2.36,3.05,3.02
ARG,1213,30/09/2012,00:20,Racing Club,San Lorenzo,4.0,0.0,H,2.19,3.07,3.35
ARG,1213,30/09/2012,19:00,Arsenal Sarandi,River Plate,0.0,4.0,A,2.52,2.99,2.86
ARG,1213,30/09/2012,19:00,Tigre,Newells Old Boys,0.0,0.0,D,3.01,3.04,2.4
ARG,1213,30/09/2012,21:15,Union de Santa Fe,Independiente,1.0,2.0,A,2.44,3.0,2.95
ARG,1213,30/09/2012,21:15,Velez Sarsfield,Colon Santa FE,2.0,4.0,A,1.78,3.33,4.55
ARG,1213,30/09/2012,23:30,Boca Juniors,San Martin S.J.,1.0,1.0,D,1.56,3.69,6.02
ARG,1213,05/10/2012,23:10,Lanus,Union de Santa Fe,2.0,0.0,H,1.59,3.61,5.78
ARG,1213,06/10/2012,01:15,Argentinos Jrs,Tigre,0.0,0.0,D,2.16,3.14,3.33
ARG,1213,06/10/2012,18:00,San Martin S.J.,All Boys,2.0,1.0,H,2.27,3.08,3.17
ARG,1213,06/10/2012,20:15,San Lorenzo,Arsenal Sarandi,0.0,0.0,D,2.35,3.0,3.12
ARG,1213,06/10/2012,22:00,Estudiantes L.P.,Quilmes,2.0,1.0,H,1.87,3.14,4.36
ARG,1213,07/10/2012,00:35,Colon Santa FE,Racing Club,0.0,1.0,A,2.21,3.1,3.28
ARG,1213,07/10/2012,19:00,Belgrano,Boca Juniors,3.0,1.0,H,2.87,3.0,2.5
ARG,1213,07/10/2012,21:15,Independiente,Atl. Rafaela,2.0,0.0,H,2.21,3.1,3.25
ARG,1213,07/10/2012,21:15,Newells Old Boys,Velez Sarsfield,1.0,0.0,H,2.31,3.04,3.12
ARG,1213,07/10/2012,23:30,River Plate,Godoy Cruz,5.0,0.0,H,1.82,3.35,4.34
ARG,1213,19/10/2012,23:10,Arsenal Sarandi,Colon Santa FE,2.0,0.0,H,2.38,3.07,2.99
ARG,1213,20/10/2012,01:15,Argentinos Jrs,Independiente,0.0,1.0,A,2.32,3.06,3.1
ARG,1213,20/10/2012,18:00,All Boys,Belgrano,1.0,0.0,H,2.53,2.97,2.84
ARG,1213,20/10/2012,20:10,Union de Santa Fe,San Martin S.J.,1.0,2.0,A,2.41,3.03,2.97
ARG,1213,20/10/2012,22:15,Godoy Cruz,San Lorenzo,0.0,0.0,D,2.13,3.07,3.49
ARG,1213,20/10/2012,22:15,Tigre,Velez Sarsfield,0.0,1.0,A,3.47,3.08,2.13
ARG,1213,21/10/2012,00:20,Racing Club,Newells Old Boys,0.0,0.0,D,2.44,2.99,2.96
ARG,1213,21/10/2012,19:00,Quilmes,River Plate,1.0,0.0,H,3.36,3.1,2.17
ARG,1213,21/10/2012,21:15,Atl. Rafaela,Lanus,1.0,2.0,A,2.79,3.0,2.57
ARG,1213,21/10/2012,23:30,Boca Juniors,Estudiantes L.P.,0.0,0.0,D,2.02,3.18,3.67
ARG,1213,27/10/2012,18:00,San Lorenzo,Quilmes,2.0,2.0,D,2.11,3.1,3.53
ARG,1213,27/10/2012,20:10,San Martin S.J.,Atl. Rafaela,1.0,2.0,A,1.98,3.18,3.84
ARG,1213,27/10/2012,22:15,Estudiantes L.P.,All Boys,0.0,1.0,A,1.78,3.32,4.65
ARG,1213,27/10/2012,22:15,Newells Old Boys,Arsenal Sarandi,2.0,1.0,H,1.79,3.29,4.59
ARG,1213,28/10/2012,00:20,Velez Sarsfield,Racing Club,1.0,0.0,H,1.9,3.23,4.09
ARG,1213,28/10/2012,18:30,River Plate,Boca Juniors,2.0,2.0,D,2.23,3.07,3.27
ARG,1213,28/10/2012,20:30,Belgrano,Union de Santa Fe,1.0,0.0,H,1.78,3.36,4.57
ARG,1213,28/10/2012,22:30,Lanus,Argentinos Jrs,1.0,0.0,H,1.89,3.26,4.07
ARG,1213,29/10/2012,21:00,Colon Santa FE,Godoy Cruz,1.0,1.0,D,2.03,3.18,3.64
ARG,1213,02/11/2012,21:00,Atl. Rafaela,Belgrano,1.0,3.0,A,2.44,3.01,2.94
ARG,1213,03/11/2012,19:10,Argentinos Jrs,San Martin S.J.,1.0,1.0,D,2.22,3.12,3.23
ARG,1213,03/11/2012,19:10,Union de Santa Fe,Estudiantes L.P.,2.0,2.0,D,3.3,3.04,2.23
ARG,1213,03/11/2012,21:15,Boca Juniors,San Lorenzo,3.0,1.0,H,1.86,3.29,4.22
ARG,1213,03/11/2012,23:20,Arsenal Sarandi,Velez Sarsfield,1.0,5.0,A,3.31,3.07,2.2
ARG,1213,04/11/2012,20:15,Godoy Cruz,Newells Old Boys,1.0,1.0,D,2.91,2.98,2.49
