Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,AvgH,AvgD,AvgA
AUT,27/10/2012,17:30,Admira,Austria Vienna,4.0,6.0,A,2.95,3.31,2.31
AUT,27/10/2012,17:30,Mattersburg,Wacker Innsbruck,1.0,2.0,A,1.86,3.42,4.11
AUT,28/10/2012,15:00,SK Rapid,Salzburg,2.0,0.0,H,2.98,3.27,2.31
AUT,03/11/2012,15:00,Neustadt,Wacker Innsbruck,0.0,1.0,A,2.45,3.15,2.89
AUT,03/11/2012,17:30,Mattersburg,Wolfsberger AC,1.0,1.0,D,2.05,3.35,3.49
AUT,03/11/2012,17:30,Salzburg,Admira,5.0,0.0,H,1.42,4.54,6.78
AUT,03/11/2012,17:30,Sturm Graz,SK Rapid,2.0,1.0,H,2.34,3.23,2.97
AUT,04/11/2012,15:00,Austria Vienna,Ried,6.0,1.0,H,1.54,4.01,5.78
AUT,10/11/2012,15:00,Admira,Sturm Graz,1.0,2.0,A,2.43,3.34,2.75
AUT,10/11/2012,17:30,Ried,Mattersburg,6.0,1.0,H,1.74,3.58,4.54
AUT,10/11/2012,17:30,Wacker Innsbruck,Austria Vienna,0.0,3.0,A,4.33,3.44,1.81
AUT,11/11/2012,15:00,Neustadt,Salzburg,0.0,3.0,A,7.33,4.43,1.41
AUT,11/11/2012,17:30,SK Rapid,Wolfsberger AC,0.0,2.0,A,1.41,4.5,7.08
AUT,17/11/2012,15:00,Austria Vienna,Neustadt,3.0,0.0,H,1.24,5.78,10.66
AUT,17/11/2012,17:30,Wolfsberger AC,Admira,1.0,1.0,D,2.42,3.3,2.78
AUT,17/11/2012,17:30,Mattersburg,SK Rapid,0.0,3.0,A,3.52,3.25,2.07
AUT,17/11/2012,17:30,Sturm Graz,Ried,3.0,1.0,H,1.8,3.48,4.29
AUT,18/11/2012,15:00,Salzburg,Wacker Innsbruck,2.0,0.0,H,1.2,6.35,12.62
AUT,24/11/2012,15:00,Wacker Innsbruck,Sturm Graz,0.0,3.0,A,3.32,3.26,2.15
AUT,24/11/2012,17:30,Austria Vienna,Mattersburg,3.0,1.0,H,1.24,5.75,10.92
AUT,24/11/2012,17:30,Neustadt,Wolfsberger AC,2.0,1.0,H,2.83,3.24,2.43
AUT,24/11/2012,17:30,Ried,Salzburg,3.0,1.0,H,4.66,3.6,1.72
AUT,25/11/2012,14:00,Admira,SK Rapid,0.0,2.0,A,2.75,3.34,2.43
AUT,27/11/2012,18:30,Wolfsberger AC,Sturm Graz,1.0,1.0,D,3.36,3.3,2.1
AUT,01/12/2012,15:00,Wolfsberger AC,Wacker Innsbruck,2.0,2.0,D,2.0,3.29,3.7
AUT,01/12/2012,17:30,Mattersburg,Admira,3.0,0.0,H,3.02,3.29,2.28
AUT,01/12/2012,17:30,SK Rapid,Ried,4.0,3.0,H,1.67,3.69,4.92
AUT,01/12/2012,17:30,Sturm Graz,Neustadt,3.0,1.0,H,1.49,4.18,6.11
AUT,02/12/2012,15:00,Salzburg,Austria Vienna,0.0,0.0,D,1.99,3.38,3.61
AUT,08/12/2012,15:00,Admira,Ried,0.0,3.0,A,2.24,3.34,3.05
AUT,08/12/2012,17:30,Wolfsberger AC,Austria Vienna,3.0,6.0,A,4.62,3.58,1.73
AUT,08/12/2012,17:30,Mattersburg,Neustadt,1.0,0.0,H,2.03,3.33,3.57
AUT,08/12/2012,17:30,Sturm Graz,Salzburg,1.0,1.0,D,3.03,3.28,2.28
AUT,09/12/2012,15:00,SK Rapid,Wacker Innsbruck,2.0,1.0,H,1.42,4.53,6.86
AUT,15/12/2012,17:30,Neustadt,SK Rapid,1.0,0.0,H,4.77,3.55,1.72
AUT,15/12/2012,17:30,Salzburg,Mattersburg,7.0,0.0,H,1.22,6.16,11.47
AUT,15/12/2012,17:30,Wacker Innsbruck,Admira,3.0,1.0,H,2.4,3.27,2.83
AUT,16/12/2012,15:00,Austria Vienna,Sturm Graz,3.0,1.0,H,1.68,3.62,5.01
AUT,16/02/2013,15:00,Ried,Wacker Innsbruck,3.0,0.0,H,1.58,3.78,5.61
AUT,16/02/2013,17:30,Admira,Neustadt,1.0,2.0,A,1.73,3.57,4.64
AUT,16/02/2013,17:30,Mattersburg,Sturm Graz,0.0,0.0,D,3.45,3.24,2.1
AUT,17/02/2013,15:00,SK Rapid,Austria Vienna,1.0,2.0,A,2.66,3.17,2.61
AUT,20/02/2013,17:30,Ried,Wolfsberger AC,1.0,1.0,D,1.53,4.05,5.88
AUT,23/02/2013,15:00,Wacker Innsbruck,Mattersburg,2.0,0.0,H,1.99,3.31,3.71
AUT,23/02/2013,17:30,Austria Vienna,Admira,4.0,0.0,H,1.35,4.88,7.96
AUT,23/02/2013,17:30,Neustadt,Ried,0.0,0.0,D,3.0,3.2,2.35
AUT,24/02/2013,15:00,Salzburg,SK Rapid,3.0,3.0,D,1.65,3.65,5.21
AUT,24/02/2013,17:30,Sturm Graz,Wolfsberger AC,1.0,3.0,A,1.58,3.88,5.5
AUT,27/02/2013,19:30,SK Rapid,Sturm Graz,1.0,1.0,D,1.72,3.58,4.7
AUT,27/02/2013,19:30,Ried,Austria Vienna,1.0,3.0,A,3.36,3.3,2.11
AUT,27/02/2013,19:30,Wacker Innsbruck,Neustadt,1.0,0.0,H,2.01,3.28,3.66
AUT,02/03/2013,15:00,Sturm Graz,Admira,1.0,2.0,A,1.62,3.74,5.28
AUT,02/03/2013,17:30,Austria Vienna,Wacker Innsbruck,4.0,0.0,H,1.28,5.33,9.66
AUT,02/03/2013,17:30,Mattersburg,Ried,1.0,0.0,H,2.92,3.17,2.41
AUT,02/03/2013,17:30,Salzburg,Neustadt,3.0,1.0,H,1.2,6.45,12.05
AUT,03/03/2013,15:00,Wolfsberger AC,SK Rapid,2.0,1.0,H,3.5,3.29,2.05
AUT,06/03/2013,17:30,Wolfsberger AC,Salzburg,1.0,1.0,D,5.02,3.74,1.64
AUT,09/03/2013,15:00,Neustadt,Austria Vienna,0.0,0.0,D,5.9,3.89,1.55
AUT,09/03/2013,17:30,Admira,Wolfsberger AC,0.0,1.0,A,2.03,3.37,3.46
AUT,09/03/2013,17:30,SK Rapid,Mattersburg,2.0,2.0,D,1.42,4.31,7.36
AUT,09/03/2013,17:30,Ried,Sturm Graz,1.0,2.0,A,2.18,3.23,3.26
AUT,10/03/2013,15:00,Wacker Innsbruck,Salzburg,2.0,3.0,A,5.36,3.81,1.6
AUT,13/03/2013,17:30,Wolfsberger AC,Mattersburg,1.0,0.0,H,1.97,3.35,3.73
AUT,13/03/2013,17:30,Admira,Salzburg,1.0,1.0,D,5.3,3.98,1.58
AUT,16/03/2013,15:00,SK Rapid,Admira,1.0,1.0,D,1.49,4.2,6.07
AUT,16/03/2013,17:30,Wolfsberger AC,Neustadt,1.0,1.0,D,1.89,3.37,3.99
AUT,16/03/2013,17:30,Salzburg,Ried,2.0,2.0,D,1.47,4.22,6.48
AUT,16/03/2013,17:30,Sturm Graz,Wacker Innsbruck,3.0,2.0,H,1.64,3.62,5.33
AUT,17/03/2013,16:00,Mattersburg,Austria Vienna,0.0,4.0,A,4.96,3.65,1.67
AUT,30/03/2013,15:00,Admira,Mattersburg,1.0,0.0,H,1.86,3.46,4.08
AUT,30/03/2013,17:30,Neustadt,Sturm Graz,1.0,0.0,H,3.09,3.14,2.31
AUT,30/03/2013,17:30,Ried,SK Rapid,3.0,2.0,H,2.75,3.19,2.51
AUT,30/03/2013,17:30,Wacker Innsbruck,Wolfsberger AC,2.0,3.0,A,2.16,3.28,3.23
AUT,31/03/2013,15:00,Austria Vienna,Salzburg,1.0,1.0,D,2.07,3.31,3.48
AUT,06/04/2013,15:00,Wacker Innsbruck,SK Rapid,1.0,1.0,D,3.26,3.25,2.18
AUT,06/04/2013,17:30,Austria Vienna,Wolfsberger AC,0.0,4.0,A,1.36,4.58,8.15
AUT,06/04/2013,17:30,Neustadt,Mattersburg,0.0,0.0,D,2.04,3.25,3.64
AUT,06/04/2013,17:30,Ried,Admira,4.0,1.0,H,1.79,3.56,4.28
AUT,07/04/2013,15:00,Salzburg,Sturm Graz,3.0,0.0,H,1.51,4.08,6.07
AUT,13/04/2013,15:00,Wolfsberger AC,Ried,1.0,3.0,A,2.19,3.29,3.15
AUT,13/04/2013,17:30,Admira,Wacker Innsbruck,4.0,3.0,H,1.92,3.39,3.9
AUT,13/04/2013,17:30,Mattersburg,Salzburg,1.0,2.0,A,5.45,3.91,1.58
AUT,13/04/2013,17:30,SK Rapid,Neustadt,2.0,0.0,H,1.5,4.01,6.48
AUT,14/04/2013,15:00,Sturm Graz,Austria Vienna,1.0,1.0,D,3.14,3.28,2.22
AUT,20/04/2013,15:00,Sturm Graz,Mattersburg,2.0,2.0,D,1.64,3.7,5.24
AUT,20/04/2013,17:30,Neustadt,Admira,3.0,0.0,H,2.64,3.22,2.61
AUT,20/04/2013,17:30,Salzburg,Wolfsberger AC,6.0,2.0,H,1.36,4.68,7.9
AUT,20/04/2013,17:30,Wacker Innsbruck,Ried,2.0,0.0,H,2.66,3.27,2.56
AUT,21/04/2013,15:00,Austria Vienna,SK Rapid,2.0,2.0,D,1.78,3.58,4.33
AUT,27/04/2013,15:00,Ried,Neustadt,2.0,1.0,H,1.69,3.67,4.86
AUT,27/04/2013,17:30,Wolfsberger AC,Sturm Graz,3.0,0.0,H,2.55,3.27,2.65
AUT,27/04/2013,17:30,Mattersburg,Wacker Innsbruck,1.0,2.0,A,2.21,3.25,3.18
AUT,27/04/2013,17:30,SK Rapid,Salzburg,1.0,3.0,A,3.02,3.34,2.26
AUT,28/04/2013,15:00,Admira,Austria Vienna,0.0,2.0,A,4.45,3.76,1.72
AUT,04/05/2013,15:00,Austria Vienna,Ried,3.0,1.0,H,1.44,4.24,7.09
AUT,04/05/2013,17:30,Mattersburg,Wolfsberger AC,3.0,1.0,H,2.56,3.28,2.64
AUT,04/05/2013,17:30,Neustadt,Wacker Innsbruck,2.0,2.0,D,2.23,3.21,3.19
AUT,04/05/2013,17:30,Salzburg,Admira,2.0,1.0,H,1.2,6.35,12.13
AUT,05/05/2013,15:00,Sturm Graz,SK Rapid,1.0,3.0,A,2.57,3.22,2.66
AUT,11/05/2013,15:00,Admira,Sturm Graz,3.0,0.0,H,2.35,3.34,2.88
AUT,11/05/2013,17:30,SK Rapid,Wolfsberger AC,0.0,0.0,D,1.68,3.76,4.62
AUT,11/05/2013,17:30,Ried,Mattersburg,1.0,1.0,D,1.61,3.86,5.27
AUT,11/05/2013,17:30,Wacker Innsbruck,Austria Vienna,0.0,3.0,A,5.11,3.79,1.63
AUT,12/05/2013,15:00,Neustadt,Salzburg,0.0,6.0,A,5.77,4.04,1.54
AUT,18/05/2013,15:00,Wolfsberger AC,Admira,0.0,0.0,D,2.13,3.41,3.21
AUT,18/05/2013,17:30,Austria Vienna,Neustadt,3.0,1.0,H,1.25,5.6,10.99
AUT,18/05/2013,17:30,Mattersburg,SK Rapid,2.0,0.0,H,3.37,3.32,2.1
AUT,18/05/2013,17:30,Salzburg,Wacker Innsbruck,3.0,1.0,H,1.19,6.47,13.15
AUT,19/05/2013,15:00,Sturm Graz,Ried,3.0,1.0,H,2.36,3.34,2.85
AUT,22/05/2013,19:30,Admira,SK Rapid,0.0,2.0,A,2.89,3.34,2.34
AUT,22/05/2013,19:30,Austria Vienna,Mattersburg,4.0,0.0,H,1.3,4.79,10.73
AUT,22/05/2013,19:30,Neustadt,Wolfsberger AC,2.0,0.0,H,2.47,3.31,2.72
AUT,22/05/2013,19:30,Ried,Salzburg,2.0,2.0,D,4.27,3.72,1.76
AUT,22/05/2013,19:30,Wacker Innsbruck,Sturm Graz,2.0,1.0,H,2.34,3.39,2.85
AUT,26/05/2013,15:00,Wolfsberger AC,Wacker Innsbruck,2.0,3.0,A,2.22,3.52,2.93
AUT,26/05/2013,15:00,Mattersburg,Admira,0.0,1.0,A,2.49,3.23,2.72
AUT,26/05/2013,15:00,SK Rapid,Ried,3.0,0.0,H,2.05,3.61,3.23
AUT,26/05/2013,15:00,Salzburg,Austria Vienna,3.0,0.0,H,1.71,3.82,4.38
AUT,26/05/2013,15:00,Sturm Graz,Neustadt,0.0,3.0,A,1.99,3.56,3.43
AUT,20/07/2013,15:30,Austria Vienna,Admira,2.0,0.0,H,1.36,4.84,7.73
AUT,20/07/2013,18:00,Wolfsberger AC,SK Rapid,2.0,2.0,D,3.12,3.25,2.25
AUT,20/07/2013,18:00,Grodig,Ried,0.0,0.0,D,2.55,3.23,2.7
AUT,20/07/2013,18:00,Neustadt,Salzburg,1.0,5.0,A,7.19,4.47,1.41
AUT,21/07/2013,15:30,Wacker Innsbruck,Sturm Graz,2.0,2.0,D,2.17,3.28,3.26
AUT,27/07/2013,15:30,SK Rapid,Neustadt,4.0,0.0,H,1.38,4.65,7.66
AUT,27/07/2013,18:00,Admira,Wacker Innsbruck,1.0,2.0,A,1.95,3.44,3.73
AUT,27/07/2013,18:00,Ried,Wolfsberger AC,1.0,0.0,H,1.71,3.82,4.44
AUT,27/07/2013,18:00,Salzburg,Austria Vienna,5.0,1.0,H,1.66,3.72,4.95
AUT,28/07/2013,15:30,Sturm Graz,Grodig,0.0,2.0,A,1.92,3.39,3.93
AUT,03/08/2013,15:30,Neustadt,Wolfsberger AC,2.0,1.0,H,2.77,3.18,2.48
AUT,03/08/2013,18:00,Austria Vienna,Ried,3.0,3.0,D,1.54,4.03,5.73
AUT,03/08/2013,18:00,Grodig,Admira,7.0,1.0,H,2.07,3.35,3.42
AUT,03/08/2013,18:00,Wacker Innsbruck,Salzburg,1.0,1.0,D,6.37,4.38,1.46
AUT,04/08/2013,15:30,Sturm Graz,SK Rapid,2.0,4.0,A,3.4,3.32,2.09
AUT,10/08/2013,15:30,Wolfsberger AC,Wacker Innsbruck,1.0,1.0,D,2.32,3.25,2.97
AUT,10/08/2013,18:00,Admira,Sturm Graz,1.0,1.0,D,2.75,3.29,2.47
AUT,10/08/2013,18:00,Ried,Neustadt,1.0,1.0,D,1.49,4.06,6.47
AUT,10/08/2013,18:00,Salzburg,Grodig,4.0,1.0,H,1.3,5.28,8.94
AUT,11/08/2013,15:30,SK Rapid,Austria Vienna,0.0,0.0,D,2.34,3.25,2.93
AUT,17/08/2013,15:30,Sturm Graz,Salzburg,1.0,1.0,D,5.97,4.22,1.5
AUT,17/08/2013,18:00,Austria Vienna,Neustadt,5.0,0.0,H,1.35,4.91,8.0
AUT,17/08/2013,18:00,Grodig,Wolfsberger AC,4.0,3.0,H,1.76,3.67,4.31
AUT,17/08/2013,18:00,Wacker Innsbruck,Ried,2.0,3.0,A,2.46,3.29,2.74
AUT,18/08/2013,15:30,Admira,SK Rapid,2.0,0.0,H,4.86,3.69,1.68
AUT,24/08/2013,15:30,Ried,Sturm Graz,3.0,0.0,H,1.75,3.6,4.49
AUT,24/08/2013,18:00,Wolfsberger AC,Austria Vienna,1.0,4.0,A,4.19,3.48,1.83
AUT,24/08/2013,18:00,Neustadt,Wacker Innsbruck,1.0,1.0,D,3.12,3.26,2.24
AUT,25/08/2013,15:30,SK Rapid,Grodig,0.0,1.0,A,1.67,3.71,4.86
AUT,25/08/2013,18:00,Salzburg,Admira,1.0,0.0,H,1.17,7.36,13.22
AUT,31/08/2013,15:30,Sturm Graz,Wolfsberger AC,4.0,1.0,H,2.01,3.44,3.51
AUT,31/08/2013,18:00,Admira,Ried,1.0,4.0,A,2.92,3.36,2.31
AUT,31/08/2013,18:00,Austria Vienna,Wacker Innsbruck,1.0,1.0,D,1.33,5.24,8.08
AUT,31/08/2013,18:00,Grodig,Neustadt,3.0,6.0,A,1.4,4.4,7.73
AUT,01/09/2013,15:30,Salzburg,SK Rapid,1.0,1.0,D,1.39,4.54,7.81
AUT,14/09/2013,15:30,Wacker Innsbruck,SK Rapid,0.0,4.0,A,2.89,3.27,2.36
AUT,14/09/2013,18:00,Wolfsberger AC,Admira,3.0,1.0,H,2.04,3.37,3.49
AUT,14/09/2013,18:00,Austria Vienna,Grodig,2.0,3.0,A,1.52,4.04,6.0
AUT,14/09/2013,18:00,Neustadt,Sturm Graz,1.0,3.0,A,2.95,3.25,2.34
AUT,15/09/2013,15:30,Ried,Salzburg,0.0,5.0,A,5.01,3.87,1.63
AUT,21/09/2013,15:30,Sturm Graz,Austria Vienna,1.0,2.0,A,3.45,3.38,2.06
AUT,21/09/2013,18:00,Admira,Neustadt,0.0,3.0,A,1.72,3.7,4.55
AUT,21/09/2013,18:00,Grodig,Wacker Innsbruck,3.0,3.0,D,1.77,3.61,4.32
AUT,22/09/2013,15:30,SK Rapid,Ried,2.0,0.0,H,1.76,3.6,4.38
AUT,22/09/2013,18:00,Salzburg,Wolfsberger AC,2.0,2.0,D,1.15,7.43,14.47
AUT,28/09/2013,15:30,Ried,Grodig,4.0,2.0,H,2.01,3.48,3.5
AUT,28/09/2013,18:00,Admira,Austria Vienna,1.0,0.0,H,4.67,3.77,1.69
AUT,28/09/2013,18:00,SK Rapid,Wolfsberger AC,2.0,4.0,A,1.48,4.19,6.33
AUT,28/09/2013,18:00,Sturm Graz,Wacker Innsbruck,1.0,0.0,H,1.87,3.5,4.01
AUT,29/09/2013,15:30,Salzburg,Neustadt,8.0,1.0,H,1.12,9.14,15.34
AUT,05/10/2013,15:30,Wolfsberger AC,Ried,1.0,1.0,D,2.63,3.34,2.55
AUT,05/10/2013,18:00,Grodig,Sturm Graz,0.0,1.0,A,2.06,3.39,3.44
AUT,05/10/2013,18:00,Wacker Innsbruck,Admira,3.0,3.0,D,2.0,3.43,3.53
AUT,06/10/2013,15:30,Austria Vienna,Salzburg,1.0,2.0,A,3.77,3.5,1.92
AUT,06/10/2013,18:00,Neustadt,SK Rapid,0.0,0.0,D,5.32,3.84,1.61
AUT,19/10/2013,15:30,Salzburg,Wacker Innsbruck,6.0,0.0,H,1.14,7.89,15.17
AUT,19/10/2013,18:00,Wolfsberger AC,Neustadt,1.0,1.0,D,1.56,4.0,5.48
AUT,19/10/2013,18:00,Admira,Grodig,0.0,4.0,A,2.46,3.37,2.71
AUT,19/10/2013,18:00,Ried,Austria Vienna,1.0,1.0,D,3.12,3.39,2.19
AUT,20/10/2013,15:30,SK Rapid,Sturm Graz,2.0,2.0,D,1.72,3.62,4.7
AUT,26/10/2013,15:30,Wacker Innsbruck,Wolfsberger AC,1.0,2.0,A,2.29,3.4,2.91
AUT,26/10/2013,18:00,Neustadt,Ried,3.0,3.0,D,3.96,3.53,1.86
AUT,26/10/2013,18:00,Sturm Graz,Admira,0.0,2.0,A,1.66,3.77,4.93
AUT,27/10/2013,15:30,Austria Vienna,SK Rapid,0.0,1.0,A,2.07,3.35,3.42
AUT,27/10/2013,18:00,Grodig,Salzburg,0.0,3.0,A,7.39,4.86,1.37
AUT,02/11/2013,15:30,SK Rapid,Admira,4.0,2.0,H,1.43,4.37,7.07
AUT,02/11/2013,18:00,Wolfsberger AC,Grodig,1.0,1.0,D,2.27,3.37,2.98
AUT,02/11/2013,18:00,Ried,Wacker Innsbruck,4.0,0.0,H,1.59,3.93,5.31
AUT,02/11/2013,18:00,Salzburg,Sturm Graz,1.0,0.0,H,1.19,6.77,12.28
AUT,03/11/2013,15:30,Neustadt,Austria Vienna,0.0,3.0,A,5.51,3.9,1.58
AUT,09/11/2013,15:30,Wacker Innsbruck,Neustadt,4.0,0.0,H,1.77,3.65,4.29
AUT,09/11/2013,18:00,Austria Vienna,Wolfsberger AC,1.0,0.0,H,1.5,4.3,5.74
AUT,10/11/2013,15:30,Grodig,SK Rapid,2.0,2.0,D,2.78,3.31,2.43
AUT,10/11/2013,18:00,Admira,Salzburg,3.0,1.0,H,10.32,5.63,1.26
AUT,23/11/2013,18:00,Neustadt,Grodig,0.0,2.0,A,4.02,3.57,1.85
AUT,23/11/2013,18:00,Ried,Admira,2.0,2.0,D,1.67,3.79,4.82
AUT,23/11/2013,18:00,Wacker Innsbruck,Austria Vienna,0.0,5.0,A,3.44,3.45,2.03
AUT,24/11/2013,15:30,SK Rapid,Salzburg,2.0,1.0,H,4.62,3.57,1.74
AUT,27/11/2013,17:30,Sturm Graz,Ried,2.0,0.0,H,2.14,3.38,3.26
AUT,30/11/2013,15:30,Grodig,Austria Vienna,1.0,0.0,H,2.93,3.43,2.28
AUT,30/11/2013,18:00,Admira,Wolfsberger AC,3.0,0.0,H,2.16,3.39,3.16
AUT,30/11/2013,18:00,Sturm Graz,Neustadt,2.0,3.0,A,1.49,4.09,6.41
AUT,01/12/2013,15:30,Salzburg,Ried,4.0,0.0,H,1.24,5.87,10.53
AUT,01/12/2013,18:00,SK Rapid,Wacker Innsbruck,3.0,0.0,H,1.36,4.85,7.65
AUT,03/12/2013,19:30,Austria Vienna,Sturm Graz,3.0,2.0,H,1.8,3.51,4.39
AUT,04/12/2013,19:30,Wolfsberger AC,Salzburg,1.0,2.0,A,8.08,5.3,1.32
AUT,04/12/2013,19:30,Neustadt,Admira,1.0,0.0,H,3.17,3.39,2.16
AUT,04/12/2013,19:30,Ried,SK Rapid,2.0,0.0,H,3.5,3.42,2.02
AUT,04/12/2013,19:30,Wacker Innsbruck,Grodig,5.0,3.0,H,3.1,3.38,2.2
AUT,07/12/2013,18:00,Austria Vienna,Admira,2.0,2.0,D,1.49,4.1,6.4
