Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,AvgH,AvgD,AvgA
DNK,30/09/2012,13:00,Silkeborg,Aalborg,2.0,1.0,H,3.46,3.51,2.02
DNK,30/09/2012,16:00,Odense,Aarhus,1.0,2.0,A,2.37,3.4,2.81
DNK,30/09/2012,18:00,Randers FC,Brondby,3.0,2.0,H,2.53,3.25,2.7
DNK,01/10/2012,18:00,Midtjylland,Sonderjyske,1.0,3.0,A,1.92,3.48,3.83
DNK,05/10/2012,17:30,Odense,Nordsjaelland,3.0,0.0,H,2.83,3.32,2.39
DNK,06/10/2012,16:00,Sonderjyske,Aarhus,0.0,3.0,A,3.04,3.38,2.24
DNK,07/10/2012,12:00,Silkeborg,Horsens,1.0,1.0,D,2.78,3.37,2.41
DNK,07/10/2012,14:00,Randers FC,Midtjylland,2.0,1.0,H,2.56,3.27,2.65
DNK,07/10/2012,16:00,Esbjerg,FC Copenhagen,2.0,2.0,D,4.96,3.64,1.69
DNK,07/10/2012,18:00,Brondby,Aalborg,1.0,3.0,A,2.88,3.28,2.38
DNK,19/10/2012,17:30,Nordsjaelland,Silkeborg,3.0,0.0,H,1.47,4.2,6.67
DNK,20/10/2012,16:00,Aalborg,Sonderjyske,2.0,1.0,H,1.64,3.77,5.13
DNK,21/10/2012,13:00,Horsens,Esbjerg,0.0,0.0,D,2.28,3.3,3.06
DNK,21/10/2012,16:00,Midtjylland,Odense,1.0,1.0,D,2.36,3.35,2.85
DNK,21/10/2012,18:00,FC Copenhagen,Brondby,1.0,0.0,H,1.44,4.22,7.08
DNK,22/10/2012,18:00,Aarhus,Randers FC,1.0,1.0,D,1.83,3.55,4.17
DNK,26/10/2012,17:30,Nordsjaelland,Aalborg,1.0,0.0,H,2.11,3.33,3.36
DNK,27/10/2012,16:00,Silkeborg,Randers FC,1.0,2.0,A,2.24,3.32,3.09
DNK,28/10/2012,13:00,Esbjerg,Sonderjyske,1.0,2.0,A,2.1,3.42,3.3
DNK,28/10/2012,16:00,Odense,Aarhus,2.0,4.0,A,2.47,3.32,2.71
DNK,28/10/2012,18:00,Midtjylland,Brondby,1.0,1.0,D,2.43,3.21,2.88
DNK,29/10/2012,18:00,Horsens,FC Copenhagen,1.0,0.0,H,4.47,3.6,1.76
DNK,02/11/2012,17:30,Esbjerg,Silkeborg,1.0,0.0,H,2.13,3.39,3.27
DNK,03/11/2012,16:00,Sonderjyske,Nordsjaelland,1.0,2.0,A,3.94,3.54,1.86
DNK,04/11/2012,13:00,Randers FC,Horsens,0.0,0.0,D,2.58,3.26,2.67
DNK,04/11/2012,16:00,Brondby,Odense,0.0,3.0,A,2.51,3.25,2.73
DNK,04/11/2012,18:00,Aarhus,FC Copenhagen,0.0,2.0,A,3.51,3.47,2.02
DNK,05/11/2012,18:00,Aalborg,Midtjylland,1.0,3.0,A,1.97,3.48,3.64
DNK,09/11/2012,17:30,Horsens,Aarhus,2.0,0.0,H,2.48,3.29,2.75
DNK,10/11/2012,16:00,Nordsjaelland,Randers FC,2.0,2.0,D,1.64,3.6,5.29
DNK,11/11/2012,13:00,Odense,Sonderjyske,5.0,0.0,H,1.84,3.61,3.95
DNK,11/11/2012,16:00,Silkeborg,Brondby,1.0,2.0,A,2.73,3.25,2.52
DNK,11/11/2012,18:00,FC Copenhagen,Aalborg,4.0,0.0,H,1.56,3.95,5.61
DNK,12/11/2012,18:00,Midtjylland,Esbjerg,0.0,0.0,D,2.13,3.36,3.32
DNK,16/11/2012,17:30,Aarhus,Nordsjaelland,0.0,2.0,A,2.81,3.24,2.45
DNK,17/11/2012,16:00,Sonderjyske,Silkeborg,2.0,3.0,A,2.23,3.34,3.09
DNK,18/11/2012,13:00,Aalborg,Horsens,2.0,0.0,H,2.31,3.34,2.93
DNK,18/11/2012,16:00,Brondby,Esbjerg,2.0,2.0,D,2.37,3.27,2.88
DNK,18/11/2012,18:00,FC Copenhagen,Midtjylland,2.0,1.0,H,1.43,4.3,7.17
DNK,19/11/2012,18:00,Randers FC,Odense,3.0,2.0,H,2.86,3.29,2.39
DNK,23/11/2012,17:30,Randers FC,Aalborg,0.0,1.0,A,2.89,3.37,2.33
DNK,24/11/2012,16:00,Silkeborg,Odense,0.0,2.0,A,3.46,3.44,2.02
DNK,25/11/2012,13:00,Esbjerg,Nordsjaelland,1.0,0.0,H,2.97,3.21,2.37
DNK,25/11/2012,16:00,Sonderjyske,FC Copenhagen,1.0,2.0,A,5.95,4.02,1.53
DNK,25/11/2012,18:15,Brondby,Horsens,2.0,0.0,H,2.29,3.3,3.0
DNK,26/11/2012,18:00,Aarhus,Midtjylland,1.0,1.0,D,2.24,3.33,3.08
DNK,30/11/2012,17:30,Horsens,Sonderjyske,1.0,3.0,A,2.18,3.3,3.25
DNK,01/12/2012,16:00,Odense,Esbjerg,3.0,0.0,H,2.23,3.27,3.14
DNK,02/12/2012,13:00,Midtjylland,Silkeborg,1.0,3.0,A,2.02,3.35,3.59
DNK,02/12/2012,16:00,FC Copenhagen,Randers FC,2.0,0.0,H,1.41,4.32,7.69
DNK,02/12/2012,18:00,Nordsjaelland,Brondby,3.0,0.0,H,2.01,3.36,3.55
DNK,03/12/2012,18:30,Aalborg,Aarhus,0.0,3.0,A,2.27,3.21,3.14
DNK,07/12/2012,17:00,Sonderjyske,Brondby,2.0,2.0,D,2.85,3.32,2.39
DNK,08/12/2012,15:00,Randers FC,Esbjerg,2.0,1.0,H,2.43,3.23,2.84
DNK,09/12/2012,13:00,Horsens,Midtjylland,0.0,2.0,A,2.69,3.21,2.57
DNK,09/12/2012,18:00,FC Copenhagen,Nordsjaelland,4.0,1.0,H,1.73,3.58,4.57
DNK,10/12/2012,18:00,Aarhus,Silkeborg,3.0,3.0,D,1.84,3.59,3.96
