Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,AvgH,AvgD,AvgA
POL,20/10/2012,17:00,Wisla,Jagiellonia,0.0,0.0,D,1.83,3.33,4.3
POL,21/10/2012,13:30,Lechia Gdansk,Slask Wroclaw,2.0,3.0,A,2.49,3.05,2.87
POL,21/10/2012,16:00,Polonia Warszawa,Ruch,2.0,1.0,H,2.02,3.26,3.58
POL,22/10/2012,17:30,Pogon Szczecin,Legia,0.0,3.0,A,3.62,3.21,2.02
POL,26/10/2012,17:00,Podbeskidzie,Lechia Gdansk,2.0,3.0,A,3.03,3.12,2.34
POL,26/10/2012,19:45,Widzew Lodz,Wisla,1.0,2.0,A,2.85,3.06,2.49
POL,27/10/2012,12:30,Korona Kielce,Pogon Szczecin,2.0,1.0,H,2.04,3.19,3.55
POL,27/10/2012,14:45,GKS Belchatow,Polonia Warszawa,0.0,5.0,A,3.13,3.18,2.23
POL,27/10/2012,17:00,Lech Poznan,Jagiellonia,0.0,2.0,A,1.51,3.76,6.79
POL,28/10/2012,13:30,Slask Wroclaw,Zaglebie,0.0,2.0,A,1.72,3.47,4.77
POL,28/10/2012,16:00,Legia,Piast Gliwice,3.0,2.0,H,1.37,4.32,8.57
POL,29/10/2012,17:30,Ruch,Gornik Z.,0.0,0.0,D,2.73,3.07,2.59
POL,02/11/2012,17:00,Gornik Z.,GKS Belchatow,2.0,0.0,H,1.34,4.58,8.97
POL,02/11/2012,19:45,Wisla,Lech Poznan,0.0,1.0,A,2.38,3.07,3.0
POL,03/11/2012,12:30,Piast Gliwice,Ruch,1.0,3.0,A,2.52,3.09,2.79
POL,03/11/2012,14:45,Zaglebie,Podbeskidzie,1.0,2.0,A,1.59,3.67,5.68
POL,03/11/2012,17:00,Jagiellonia,Widzew Lodz,2.0,2.0,D,2.03,3.24,3.62
POL,04/11/2012,13:30,Lechia Gdansk,Legia,1.0,2.0,A,3.63,3.29,2.0
POL,04/11/2012,16:00,Polonia Warszawa,Korona Kielce,2.0,0.0,H,1.6,3.74,5.47
POL,05/11/2012,17:30,Pogon Szczecin,Slask Wroclaw,0.0,3.0,A,2.61,3.15,2.63
POL,09/11/2012,17:00,Ruch,Lechia Gdansk,0.0,1.0,A,1.98,3.27,3.73
POL,09/11/2012,19:45,Widzew Lodz,Lech Poznan,0.0,1.0,A,3.35,3.13,2.17
POL,10/11/2012,12:30,Podbeskidzie,Polonia Warszawa,0.0,1.0,A,3.98,3.39,1.88
POL,10/11/2012,14:45,Slask Wroclaw,Piast Gliwice,1.0,3.0,A,1.61,3.62,5.48
POL,10/11/2012,17:00,Legia,Jagiellonia,1.0,2.0,A,1.39,4.24,8.15
POL,11/11/2012,13:30,Gornik Z.,Zaglebie,0.0,2.0,A,1.57,3.62,5.95
POL,11/11/2012,16:00,Korona Kielce,Wisla,1.0,1.0,D,2.46,3.06,2.89
POL,12/11/2012,17:30,GKS Belchatow,Pogon Szczecin,0.0,1.0,A,2.71,3.13,2.57
POL,16/11/2012,17:00,Zaglebie,GKS Belchatow,1.0,0.0,H,1.54,3.75,6.12
POL,16/11/2012,19:45,Lechia Gdansk,Widzew Lodz,2.0,0.0,H,1.96,3.25,3.86
POL,17/11/2012,12:30,Piast Gliwice,Podbeskidzie,1.0,0.0,H,1.79,3.41,4.41
POL,17/11/2012,14:45,Jagiellonia,Korona Kielce,0.0,0.0,D,1.99,3.27,3.69
POL,17/11/2012,18:30,Polonia Warszawa,Gornik Z.,1.0,1.0,D,2.14,3.18,3.36
POL,18/11/2012,13:30,Lech Poznan,Legia,1.0,3.0,A,2.52,3.08,2.81
POL,18/11/2012,16:00,Wisla,Slask Wroclaw,1.0,0.0,H,2.17,3.16,3.33
POL,19/11/2012,17:30,Pogon Szczecin,Ruch,1.0,0.0,H,2.33,3.13,3.02
POL,23/11/2012,17:00,Korona Kielce,Piast Gliwice,4.0,0.0,H,2.09,3.2,3.49
POL,23/11/2012,19:45,Legia,Widzew Lodz,1.0,0.0,H,1.33,4.54,9.77
POL,24/11/2012,12:30,GKS Belchatow,Lechia Gdansk,1.0,1.0,D,3.17,3.14,2.24
POL,24/11/2012,14:45,Polonia Warszawa,Zaglebie,0.0,1.0,A,1.73,3.42,4.85
POL,24/11/2012,17:00,Gornik Z.,Pogon Szczecin,0.0,0.0,D,1.69,3.44,5.15
