Div,Season,Date,Time,DayOTW,Team_ID,Opp_ID,FTR,team_elo,opp_elo,team_hist_vs,opp_hist_vs,team_points,opp_points,team_form,opp_form,team_shots,opp_shots,team_shots_target,opp_shots_target,AvgH,AvgD,AvgA
0,2122,20210815,14,6,215,280,0,1493,1613,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,8.07,5.44,1.35
2,2122,20210815,14,6,236,222,0,1445,1405,0.0,0.0,1,1,1.0,1.0,5.0,12.0,1.0,5.0,2.33,3.21,3.27
1,2122,20210815,14,6,238,359,2,1498,1459,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,3.2,3.51,2.26
2,2122,20210815,14,6,286,230,1,1464,1405,0.0,0.0,1,3,1.0,0.0,5.0,8.0,0.0,1.0,2.67,3.18,2.79
4,2122,20210815,16,6,82,33,2,1388,1578,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,4.17,3.25,2.01
0,2122,20210815,16,6,130,172,0,1473,1386,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.57,3.34,2.8
2,2122,20210815,16,6,202,315,1,1557,1429,0.0,0.0,1,1,1.0,1.0,11.0,20.0,6.0,3.0,2.05,3.52,3.61
1,2122,20210815,16,6,336,217,0,1521,1669,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,5.49,4.1,1.64
4,2122,20210815,19,6,38,306,0,1654,1550,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.74,4.06,4.44
2,2122,20210815,19,6,220,57,1,1611,1403,0.0,0.0,3,3,3.0,0.0,21.0,10.0,7.0,6.0,1.54,4.3,6.02
4,2122,20210815,21,6,301,346,0,1530,1387,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.44,4.54,7.6
4,2122,20210816,19,0,349,157,1,1451,1398,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.54,4.24,6.25
4,2122,20210816,21,0,119,32,1,1432,1501,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,3.78,3.3,2.09
0,2122,20210820,19,4,280,327,0,1580,1461,0.0,0.0,0,0,0.0,3.0,15.0,30.0,2.0,15.0,1.42,4.98,7.24
4,2122,20210820,20,4,47,73,1,1555,1426,0.0,0.0,1,1,1.0,1.0,10.0,7.0,1.0,2.0,1.52,4.3,6.69
2,2122,20210820,20,4,64,262,2,1443,1665,0.0,0.0,2,0,1.44,4.33,11.33,11.44,6.33,4.67,10.79,6.06,1.27
1,2122,20210821,12,5,208,70,0,1725,1389,0.0,0.0,3,3,3.0,0.0,19.0,14.0,8.0,3.0,1.21,6.97,14.41
0,2122,20210821,14,5,53,215,0,1424,1464,0.0,0.0,0,0,0.0,3.0,7.0,7.0,1.0,2.0,2.66,3.51,2.6
0,2122,20210821,14,5,118,35,1,1491,1423,0.0,0.0,0,3,0.0,0.0,12.0,7.0,3.0,0.0,1.61,4.38,5.1
0,2122,20210821,14,5,142,108,0,1534,1614,0.0,0.0,1,0,1.0,3.0,14.0,12.0,6.0,7.0,5.5,4.59,1.55
0,2122,20210821,14,5,159,48,1,1354,1456,0.0,0.0,0,1,0.0,1.0,8.0,10.0,4.0,4.0,2.57,3.39,2.77
0,2122,20210821,14,5,172,363,2,1379,1461,0.0,0.0,0,0,0.0,3.0,11.0,21.0,5.0,9.0,3.06,3.44,2.33
1,2122,20210821,15,5,30,238,0,1505,1492,0.0,0.0,0,3,0.0,0.0,11.0,17.0,2.0,3.0,1.82,3.92,4.25
