Div,Date,Time,Team_ID,Opp_ID,Ref_ID,FTR,FTR2,team_hist_vs,team_form_team,team_form_opp,team_shots,opp_shots,team_shots_target,opp_shots_target,team_avg_games,opp_avg_games,AvgH,AvgD,AvgA
2,19000101,0,126,6,61,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7268245567610476,3.932667372320719,4.152701772955808
2,19000101,0,114,124,35,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7268245567610476,3.932667372320719,4.152701772955808
2,19000101,0,138,147,39,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7268245567610476,3.932667372320719,4.152701772955808
2,19000101,0,32,18,19,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7268245567610476,3.932667372320719,4.152701772955808
2,19000101,0,6,114,37,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7268245567610476,3.932667372320719,4.152701772955808
2,19000101,0,23,47,39,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7268245567610476,3.932667372320719,4.152701772955808
2,19000101,0,30,105,17,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7268245567610476,3.932667372320719,4.152701772955808
2,19000101,0,61,138,4,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7268245567610476,3.932667372320719,4.152701772955808
2,19000101,0,77,26,35,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7268245567610476,3.932667372320719,4.152701772955808
2,19000101,0,115,103,21,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7268245567610476,3.932667372320719,4.152701772955808
2,19000101,0,123,126,6,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7268245567610476,3.932667372320719,4.152701772955808
2,19000101,0,124,75,34,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7268245567610476,3.932667372320719,4.152701772955808
2,19000101,0,137,13,12,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7268245567610476,3.932667372320719,4.152701772955808
2,19000101,0,147,84,45,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7268245567610476,3.932667372320719,4.152701772955808
2,19000101,0,167,36,74,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7268245567610476,3.932667372320719,4.152701772955808
2,19000101,0,30,6,36,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7268245567610476,3.932667372320719,4.152701772955808
2,19000101,0,75,23,35,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7268245567610476,3.932667372320719,4.152701772955808
2,19000101,0,13,147,20,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7268245567610476,3.932667372320719,4.152701772955808
2,19000101,0,18,126,39,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7268245567610476,3.932667372320719,4.152701772955808
2,19000101,0,26,167,12,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7268245567610476,3.932667372320719,4.152701772955808
2,19000101,0,32,138,10,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7268245567610476,3.932667372320719,4.152701772955808
2,19000101,0,36,124,9,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7268245567610476,3.932667372320719,4.152701772955808
2,19000101,0,77,61,13,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7268245567610476,3.932667372320719,4.152701772955808
2,19000101,0,103,123,17,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7268245567610476,3.932667372320719,4.152701772955808
2,19000101,0,105,114,19,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7268245567610476,3.932667372320719,4.152701772955808
2,19000101,0,115,84,37,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7268245567610476,3.932667372320719,4.152701772955808
2,19000101,0,137,47,6,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7268245567610476,3.932667372320719,4.152701772955808
2,19000101,0,47,75,10,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7268245567610476,3.932667372320719,4.152701772955808
2,19000101,0,6,26,74,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7268245567610476,3.932667372320719,4.152701772955808
2,19000101,0,23,103,36,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7268245567610476,3.932667372320719,4.152701772955808
2,19000101,0,61,36,19,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7268245567610476,3.932667372320719,4.152701772955808
2,19000101,0,84,32,35,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7268245567610476,3.932667372320719,4.152701772955808
2,19000101,0,114,18,9,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7268245567610476,3.932667372320719,4.152701772955808
2,19000101,0,123,13,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7268245567610476,3.932667372320719,4.152701772955808
2,19000101,0,124,77,45,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7268245567610476,3.932667372320719,4.152701772955808
2,19000101,0,126,30,34,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7268245567610476,3.932667372320719,4.152701772955808
2,19000101,0,138,115,6,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7268245567610476,3.932667372320719,4.152701772955808
2,19000101,0,147,137,37,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7268245567610476,3.932667372320719,4.152701772955808
2,19000101,0,167,105,16,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7268245567610476,3.932667372320719,4.152701772955808
2,19000101,0,6,103,34,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7268245567610476,3.932667372320719,4.152701772955808
2,19000101,0,23,137,4,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7268245567610476,3.932667372320719,4.152701772955808
2,19000101,0,84,18,2,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7268245567610476,3.932667372320719,4.152701772955808
2,19000101,0,114,32,45,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7268245567610476,3.932667372320719,4.152701772955808
2,19000101,0,123,36,35,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7268245567610476,3.932667372320719,4.152701772955808
2,19000101,0,124,105,77,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7268245567610476,3.932667372320719,4.152701772955808
2,19000101,0,138,26,37,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7268245567610476,3.932667372320719,4.152701772955808
2,19000101,0,147,115,9,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7268245567610476,3.932667372320719,4.152701772955808
2,19000101,0,167,30,39,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7268245567610476,3.932667372320719,4.152701772955808
