Div,Season,Date,Time,DayOTW,Team_ID,Opp_ID,Ref_ID,FTR,FTR2,team_elo,opp_elo,team_hist_vs,opp_hist_vs,team_points,opp_points,team_form,opp_form,team_avg_goals_for,team_avg_goals_against,opp_avg_goals_for,opp_avg_goals_against,team_shots,opp_shots,team_shots_target,opp_shots_target,team_avg_games,opp_avg_games,AvgH,AvgD,AvgA
2,1920,20190729,19,0,48,326,74,1,1,1395,1453,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.21,3.37,3.14
6,1920,20190729,19,0,209,265,74,0,0,1441,1488,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.05,3.02,3.96
2,1920,20190802,17,4,53,48,74,1,1,1502,1399,0.0,0.0,0,1,0.0,1.0,3.0,1.0,1.0,1.0,16.0,22.0,4.0,5.0,1.0,1.0,2.7,3.44,2.48
2,1920,20190802,17,4,302,253,74,2,2,1346,1331,0.0,0.0,1,3,1.0,0.0,1.0,1.0,3.0,1.0,15.0,9.0,3.0,2.0,1.0,1.0,2.01,3.34,3.73
4,1920,20190802,19,4,211,224,35,1,1,1391,1370,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.32,3.28,3.19
2,1920,20190802,19,4,326,150,74,2,2,1439,1509,0.0,0.0,1,3,1.0,0.0,1.0,1.0,2.0,0.0,5.0,23.0,3.0,7.0,1.0,1.0,2.09,3.34,3.49
6,1920,20190802,19,4,35,194,74,0,0,1497,1469,0.0,0.0,0,3,0.0,0.0,2.0,0.0,2.0,1.0,17.0,21.0,4.0,4.0,1.0,1.0,1.81,3.37,4.59
6,1920,20190802,19,4,81,294,74,1,1,1275,1399,0.0,0.0,0,0,0.0,3.0,3.0,0.0,0.0,2.0,11.0,10.0,5.0,3.0,1.0,1.0,2.91,2.92,2.62
6,1920,20190802,19,4,149,4,74,2,2,1447,1430,0.0,0.0,1,1,1.0,1.0,3.0,3.0,2.0,2.0,5.0,12.0,3.0,4.0,1.0,1.0,2.14,3.08,3.63
6,1920,20190802,19,4,193,243,74,1,1,1395,1327,0.0,0.0,1,3,1.0,0.0,2.0,2.0,2.0,0.0,12.0,4.0,3.0,2.0,1.0,1.0,1.73,3.38,5.19
6,1920,20190802,19,4,251,78,74,2,2,1475,1407,0.0,0.0,1,0,1.0,3.0,0.0,0.0,0.0,1.0,6.0,14.0,3.0,5.0,1.0,1.0,2.14,3.04,3.7
6,1920,20190802,19,4,265,313,74,1,1,1484,1408,0.0,0.0,0,1,0.0,1.0,3.0,0.0,0.0,0.0,3.0,11.0,2.0,0.0,1.0,1.0,2.16,2.8,4.04
6,1920,20190802,19,4,344,86,74,2,2,1512,1530,0.0,0.0,3,0,3.0,3.0,0.0,2.0,0.0,3.0,14.0,11.0,5.0,7.0,1.0,1.0,2.47,3.01,3.02
6,1920,20190802,19,4,352,236,74,1,1,1350,1393,0.0,0.0,0,1,0.0,1.0,1.0,0.0,0.0,0.0,9.0,8.0,0.0,1.0,1.0,1.0,2.68,3.02,2.74
0,1920,20190802,19,4,87,327,74,0,0,1648,1389,0.0,0.0,3,3,3.0,0.0,1.0,3.0,1.0,0.0,25.0,10.0,22.0,4.0,1.0,1.0,1.24,6.04,10.99
10,1920,20190802,19,4,383,375,74,2,2,1376,1396,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.04,3.66,3.38
2,1920,20190803,12,5,180,101,74,0,0,1493,1355,0.0,0.0,3,3,3.0,0.0,1.0,2.0,1.0,0.0,12.0,16.0,4.0,3.0,1.0,1.0,2.09,3.39,3.43
2,1920,20190803,14,5,156,287,74,1,1,1368,1381,0.0,0.0,0,0,0.0,3.0,2.0,1.0,1.0,3.0,7.0,17.0,2.0,6.0,1.0,1.0,1.97,3.5,3.69
4,1920,20190803,15,5,39,134,45,0,0,1457,1351,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3,3.45,2.17
4,1920,20190803,15,5,50,80,76,2,2,1343,1509,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,3.64,4.48
4,1920,20190803,15,5,58,49,30,2,2,1500,1360,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.72,3.75,4.92
4,1920,20190803,15,5,226,279,39,0,0,1403,1381,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.58,3.17,2.84
4,1920,20190803,15,5,285,311,34,2,2,1364,1328,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.56,3.19,2.86
4,1920,20190803,15,5,330,280,10,2,2,1340,1443,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,3.51,4.69
4,1920,20190803,15,5,335,169,5,0,0,1437,1364,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.03,3.45,3.7
4,1920,20190803,15,5,374,70,29,0,0,1377,1398,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.99,3.19,2.46
