Div,Season,Date,Time,DayOTW,Team_ID,Opp_ID,FTR,team_elo,opp_elo,team_xg,opp_xg,team_hist_vs,opp_hist_vs,team_points,opp_points,team_form,opp_form,team_avg_goals_for,team_avg_goals_against,opp_avg_goals_for,opp_avg_goals_against,team_shots,opp_shots,team_shots_target,opp_shots_target,team_avg_games,opp_avg_games,AvgH,AvgD,AvgA
1,2122,20210814,15,5,22,1,0,1518,1555,0.61,0.149,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.14,3.26,2.41
2,2122,20210814,16,5,74,88,2,1545,1544,0.234,0.566,0.0,0.0,1,1,1.0,1.0,3.0,3.0,0.0,0.0,18.0,12.0,7.0,2.0,1.0,1.0,1.84,3.5,4.59
1,2122,20210814,17,5,17,12,2,1489,1616,0.298,0.661,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.78,5.71,1.33
0,2122,20210814,17,5,48,49,0,1644,1482,0.61,0.208,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.44,5.17,6.49
4,2122,20210814,18,5,42,72,1,1423,1496,0.234,0.208,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.78,3.23,2.66
4,2122,20210814,18,5,79,36,1,1463,1510,0.234,0.105,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.38,3.29,2.24
2,2122,20210814,20,5,90,104,0,1649,1413,0.53,0.149,0.0,0.0,3,3,3.0,0.0,1.0,2.0,2.0,0.0,12.0,7.0,3.0,1.0,1.0,1.0,1.2,7.25,13.36
4,2122,20210814,21,5,26,92,2,1428,1628,0.37,0.566,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.08,4.57,1.46
4,2122,20210814,21,5,89,52,1,1463,1416,0.181,0.208,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.29,3.26,3.31
2,2122,20210815,12,6,28,76,0,1340,1517,0.53,0.208,0.0,0.0,3,1,3.0,1.0,0.0,2.0,1.0,1.0,9.0,17.0,2.0,4.0,1.0,1.0,4.35,3.74,1.82
1,2122,20210815,14,6,16,23,2,1567,1445,0.298,0.744,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2,3.51,2.26
0,2122,20210815,14,6,78,91,0,1479,1595,0.234,0.149,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.07,5.44,1.35
2,2122,20210815,14,6,41,94,1,1491,1548,0.449,0.149,0.0,0.0,1,1,1.0,1.0,1.0,1.0,1.0,1.0,13.0,10.0,8.0,2.0,1.0,1.0,3.06,3.36,2.36
2,2122,20210815,14,6,45,108,0,1536,1305,0.685,0.105,0.0,0.0,3,3,3.0,0.0,0.0,2.0,2.0,1.0,19.0,15.0,10.0,7.0,1.0,1.0,2.05,3.48,3.66
2,2122,20210815,14,6,86,81,0,1396,1398,0.61,0.369,0.0,0.0,1,1,1.0,1.0,1.0,1.0,3.0,3.0,5.0,12.0,1.0,5.0,1.0,1.0,2.33,3.21,3.27
2,2122,20210815,14,6,93,84,1,1469,1466,0.751,0.369,0.0,0.0,1,3,1.0,0.0,0.0,0.0,3.0,2.0,5.0,8.0,0.0,1.0,1.0,1.0,2.67,3.18,2.79
